ID,Name,ImgPath,InList,Caught,Order
0,unknown,unknown,false,false,-1
1,Bulbasaur,Bulbasaur,true,true,0
2,Ivysaur,Ivysaur,true,true,1
3,Venusaur,Venusaur,true,true,2
5001,Venusaur (Female),Venusaur,true,true,3
7531,G-Max Venusaur,Venusaur-Gmax,true,true,4
7046,Mega Venusaur,Venusaur-Mega,false,false,10000
4,Charmander,Charmander,true,true,5
5,Charmeleon,Charmeleon,true,true,6
6,Charizard,Charizard,true,true,7
7504,G-Max Charizard,Charizard-Gmax,true,true,8
7014,Mega Charizard X,Charizard-Mega-X,false,false,10001
7015,Mega Charizard Y,Charizard-Mega-Y,false,false,10002
7,Squirtle,Squirtle,true,true,9
8,Wartortle,Wartortle,true,true,10
9,Blastoise,Blastoise,true,true,11
7501,G-Max Blastoise,Blastoise-Gmax,true,true,12
7011,Mega Blastoise,Blastoise-Mega,false,false,10003
10,Caterpie,Caterpie,true,true,13
11,Metapod,Metapod,true,true,14
12,Butterfree,Butterfree,true,true,15
5002,Butterfree (Female),Butterfree,true,true,16
7502,G-Max Butterfree,Butterfree-Gmax,true,true,17
13,Weedle,Weedle,true,true,18
14,Kakuna,Kakuna,true,true,19
15,Beedrill,Beedrill,true,true,20
7010,Mega Beedrill,Beedrill-Mega,false,false,10004
16,Pidgey,Pidgey,true,true,21
17,Pidgeotto,Pidgeotto,true,true,22
18,Pidgeot,Pidgeot,true,true,23
7035,Mega Pidgeot,Pidgeot-Mega,false,false,10005
19,Rattata,Rattata,true,true,24
5003,Rattata (Female),Rattata,true,true,25
8015,Alolan Rattata,Rattata-Alola,true,true,26
20,Raticate,Raticate,true,true,27
5004,Raticate (Female),Raticate,true,true,28
8014,Alolan Raticate,Raticate-Alola,true,true,29
21,Spearow,Spearow,true,true,30
22,Fearow,Fearow,true,true,31
23,Ekans,Ekans,true,true,32
24,Arbok,Arbok,true,true,33
25,Pikachu,Pikachu,true,true,34
5005,Pikachu (Female),female/Pikachu,true,true,35
7524,G-Max Pikachu,Pikachu-Gmax,true,true,36
6057,Original Cap Pikachu,Pikachu-Original-Cap,true,true,37
6055,Hoenn Cap Pikachu,Pikachu-Hoenn-Cap,true,true,38
6059,Sinnoh Cap Pikachu,Pikachu-Sinnoh-Cap,true,true,39
6060,Unova Cap Pikachu,Pikachu-Unova-Cap,true,true,40
6056,Kalos Cap Pikachu,Pikachu-Kalos-Cap,true,true,41
6054,Alola Cap Pikachu,Pikachu-Alola-Cap,true,true,42
6058,Partner Cap Pikachu,Pikachu-Partner-Cap,true,true,43
6061,World Cap Pikachu,Pikachu-World-Cap,false,false,10006
6063,Cosplay Pikachu,Pikachu-Cosplay,false,false,10007
6062,Belle Pikachu,Pikachu-Belle,false,false,10008
6064,Licre Pikachu,Pikachu-Libre,false,false,10009
6065,PhD Pikachu,Pikachu-Phd,false,false,10010
6066,Pop Star Pikachu,Pikachu-Pop-Star,false,false,10011
6097,Rock Star Pikachu,Pikachu-Rock-Star,false,false,10012
6067,Starter Pikachu,Pikachu-Starter,false,false,10013
26,Raichu,Raichu,true,true,44
5006,Raichu (Female),Raichu,true,true,45
8013,Alolan Raichu,Raichu-Alola,true,true,46
27,Sandshrew,Sandshrew,true,true,47
8016,Alolan Sandshrew,Sandshrew-Alola,true,true,48
28,Sandslash,Sandslash,true,true,49
8017,Alolan Sandslash,Sandslash-Alola,true,true,50
29,Nidoran-m,Nidoran-m,true,true,51
30,Nidorina,Nidorina,true,true,52
31,Nidoqueen,Nidoqueen,true,true,53
32,Nidoran-f,Nidoran-f,true,true,54
33,Nidorino,Nidorino,true,true,55
34,Nidoking,Nidoking,true,true,56
35,Clefairy,Clefairy,true,true,57
36,Clefable,Clefable,true,true,58
37,Vulpix,Vulpix,true,true,59
8018,Alolan Vulpix,Vulpix-Alola,true,true,60
38,Ninetales,Ninetales,true,true,61
8011,Alolan Ninetales,Ninetales-Alola,true,true,62
39,Jigglypuff,Jigglypuff,true,true,63
40,Wigglytuff,Wigglytuff,true,true,64
41,Zubat,Zubat,true,true,65
5007,Zubat (Female),Zubat,true,true,66
42,Golbat,Golbat,true,true,67
5008,Golbat (Female),Golbat,true,true,68
43,Oddish,Oddish,true,true,69
44,Gloom,Gloom,true,true,70
5008,Gloom (Female),Gloom,true,true,71
45,Vileplume,Vileplume,true,true,72
5009,Vileplume (Female),Vileplume,true,true,73
46,Paras,Paras,true,true,74
47,Parasect,Parasect,true,true,75
48,Venonat,Venonat,true,true,76
49,Venomoth,Venomoth,true,true,77
50,Diglett,Diglett,true,true,78
8001,Alolan Diglett,Diglett-Alola,true,true,79
51,Dugtrio,Dugtrio,true,true,80
8002,Alolan Dugtrio,Dugtrio-Alola,true,true,81
52,Meowth,Meowth,true,true,82
8009,Alolan Meowth,Meowth-Alola,true,true,83
8506,Galarian Meowth,Meowth-Galar,true,true,84
7522,G-Max Meowth,Meowth-Gmax,true,true,85
53,Persian,Persian,true,true,86
8012,Alolan Persian,Persian-Alola,true,true,87
54,Psyduck,Psyduck,true,true,88
55,Golduck,Golduck,true,true,89
56,Mankey,Mankey,true,true,90
57,Primeape,Primeape,true,true,91
58,Growlithe,Growlithe,true,true,92
59,Arcanine,Arcanine,true,true,93
60,Poliwag,Poliwag,true,true,94
61,Poliwhirl,Poliwhirl,true,true,95
62,Poliwrath,Poliwrath,true,true,96
63,Abra,Abra,true,true,97
64,Kadabra,Kadabra,true,true,98
5011,Kadabra (Female),Kadabra,true,true,99
65,Alakazam,Alakazam,true,true,100
5012,Alakazam (Female),Alakazam,true,true,101
7005,Mega Alakazam,Alakazam-Mega,false,false,10014
66,Machop,Machop,true,true,102
67,Machoke,Machoke,true,true,103
68,Machamp,Machamp,true,true,104
